ticker,manager_count,managers,company,price,avg_portfolio_pct,max_portfolio_pct,portfolio_pct_std,total_shares,market_cap,cap_category,sector,industry,total_position_value,conviction_score,consistency_score,market_cap_display
MSFT,35,"AKO Capital, AltaRock Partners, Bill & Melinda Gates Foundation Trust, Chase Coleman - Tiger Global Management, Chris Hohn - TCI Fund Management, Christopher Davis - Davis Advisors, Daniel Loeb - Third Point, David Katz - Matrix Asset Advisors, David Rolfe - Wedgewood Partners, David Tepper - Appaloosa Management",,0.0,5.41,25.55,6.21,0,0,Unknown,Information Technology,Unknown,0.0,128.6,0.75,N/A
GOOGL,30,"AltaRock Partners, Bill Ackman - Pershing Square Capital Management, Bill Nygren - Oakmark Select Fund, Chase Coleman - Tiger Global Management, Chris Hohn - TCI Fund Management, Christopher Davis - Davis Advisors, David Abrams - Abrams Capital Management, David Katz - Matrix Asset Advisors, David Rolfe - Wedgewood Partners, Dodge & Cox",,0.0,3.91,17.78,3.77,0,0,Unknown,Technology,Unknown,0.0,106.71,0.82,N/A
GOOG,26,"Bill Ackman - Pershing Square Capital Management, Bryan Lawrence - Oakcliff Capital, Chris Hohn - TCI Fund Management, Christopher Davis - Davis Advisors, David Katz - Matrix Asset Advisors, David Tepper - Appaloosa Management, Dodge & Cox, Duan Yongping - H&H International Investment, First Eagle Investment Management, Francis Chou - Chou Associates",,0.0,5.05,17.31,4.38,0,0,Unknown,Technology,Unknown,0.0,96.76,0.94,N/A
META,24,"Chase Coleman - Tiger Global Management, Christopher Davis - Davis Advisors, David Abrams - Abrams Capital Management, David Katz - Matrix Asset Advisors, David Rolfe - Wedgewood Partners, David Tepper - Appaloosa Management, Dodge & Cox, First Eagle Investment Management, Francois Rochon - Giverny Capital, John Armitage - Egerton Capital",,0.0,6.5,18.19,4.91,0,0,Unknown,Technology,Unknown,0.0,94.1,1.1,N/A
AMZN,24,"AKO Capital, AltaRock Partners, Chase Coleman - Tiger Global Management, Christopher Davis - Davis Advisors, Daniel Loeb - Third Point, David Katz - Matrix Asset Advisors, David Tepper - Appaloosa Management, Dodge & Cox, Glenn Greenberg - Brave Warrior Advisors, John Armitage - Egerton Capital",,0.0,6.19,21.34,5.46,0,0,Unknown,Consumer Discretionary,Unknown,0.0,95.05,0.96,N/A
V,24,"AKO Capital, AltaRock Partners, Chris Hohn - TCI Fund Management, Chuck Akre - Akre Capital Management, David Katz - Matrix Asset Advisors, David Rolfe - Wedgewood Partners, Francois Rochon - Giverny Capital, Glenn Greenberg - Brave Warrior Advisors, John Armitage - Egerton Capital, Lindsell Train",,0.0,4.7,13.44,3.57,0,0,Unknown,Services,Unknown,0.0,88.12,1.03,N/A
BRK.B,20,"Bill & Melinda Gates Foundation Trust, Bruce Berkowitz - Fairholme Capital, Christopher Bloomstran - Semper Augustus, Christopher Davis - Davis Advisors, Chuck Akre - Akre Capital Management, David Katz - Matrix Asset Advisors, Duan Yongping - H&H International Investment, First Eagle Investment Management, Francois Rochon - Giverny Capital, Greenhaven Associates",,0.0,7.45,25.5,8.55,0,0,Unknown,Financials,Unknown,0.0,87.65,0.78,N/A
COF,18,"Bill Nygren - Oakmark Select Fund, Christopher Davis - Davis Advisors, Clifford Sosin - CAS Investment Partners, Daniel Loeb - Third Point, David Katz - Matrix Asset Advisors, Dodge & Cox, Francois Rochon - Giverny Capital, Glenn Greenberg - Brave Warrior Advisors, Harry Burn - Sound Shore, John Armitage - Egerton Capital",,0.0,3.0,9.3,2.7,0,0,Unknown,Financials,Unknown,0.0,64.65,0.81,N/A
AAPL,17,"Bruce Berkowitz - Fairholme Capital, Christopher Bloomstran - Semper Augustus, David Katz - Matrix Asset Advisors, David Rolfe - Wedgewood Partners, Duan Yongping - H&H International Investment, Francis Chou - Chou Associates, Francois Rochon - Giverny Capital, Jensen Investment Management, Kahn Brothers Group, Li Lu - Himalaya Capital Management",,0.0,7.35,63.33,15.67,0,0,Unknown,Technology,Unknown,0.0,97.36,0.44,N/A
UNH,17,"Chase Coleman - Tiger Global Management, Christopher Davis - Davis Advisors, David Katz - Matrix Asset Advisors, David Rolfe - Wedgewood Partners, David Tepper - Appaloosa Management, Dodge & Cox, First Eagle Investment Management, Glenn Greenberg - Brave Warrior Advisors, Jensen Investment Management, Lee Ainslie - Maverick Capital",,0.0,1.76,5.93,1.75,0,0,Unknown,Health Care,Unknown,0.0,57.48,0.64,N/A
